Unique Semantic Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Linked Platform,Linked Feature,Status,Context,Airtable Record ID,Sort (String)
[Audius Music] Decentralized,recMyDQa14zdTOP9X,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b4f9e536f4559876706,false,false,Thu Apr 17 2025 18:41:19 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:29 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:29 GMT+0000 (Coordinated Universal Time),audiusmusic,recLYyQOJiPcoEmkQ,Yes,,recEZRjvwgt3RlzLG,014
[Audius Music] Rewards System,recNRujDloEtACFow,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b410e489b1b31ceaaac,false,false,Thu Apr 17 2025 18:41:05 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:35 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:35 GMT+0000 (Coordinated Universal Time),audiusmusic,recCzkCr6SvsPfREd,Yes,,recv1TXl1WC8zEIXK,011
[Spotify] Scheduled Releases,rectk0WwfZNlcCnH5,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68081254339fa23ef550576a,false,false,Tue Apr 22 2025 22:04:04 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:37 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:37 GMT+0000 (Coordinated Universal Time),spotify,recc0t3WyRiUojoNW,Partial,Release schedule is controlled by distributor,rectk0WwfZNlcCnH5,007
[Spotify] Streaming Quality,recLCrVh3LGLA5lKu,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b116302ed7ae7a57933,false,false,Thu Apr 17 2025 18:40:17 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:37 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:37 GMT+0000 (Coordinated Universal Time),spotify,rec92kLuzA4g8z2wT,,160 kbps,recWof095zOkfIAcf,001
[Soundcloud] Ad-Free Listening,recwwUac1aVdWUS70,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b2cb9c90bbe8a86d417,false,false,Thu Apr 17 2025 18:40:44 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:41 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:41 GMT+0000 (Coordinated Universal Time),soundcloud,recH1SaEa6vxhiI1i,Partial,Premium Subscription Required,recj0J1JvtifwrAjx,004
[Soundcloud] Ad-Free Interface,recI6sxXuimsbfMKU,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b34d1392f061a35c3f9,false,false,Thu Apr 17 2025 18:40:52 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:44 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:44 GMT+0000 (Coordinated Universal Time),soundcloud,recSJfccCZx507pog,Partial,Premium Subscription Required,rec4kQtsl6i5yqUWS,003
[Spotify] Comments,receBiPJCCotmcoja,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b20658ed7179e469433,false,false,Thu Apr 17 2025 18:40:32 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:48 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:48 GMT+0000 (Coordinated Universal Time),spotify,recTza6bYF0gEoXVA,No,,rec2R11QvYxaQmM3W,005
[Soundcloud] Remix Features,recKKU7p83pmcG6jl,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b3c7d6f93ed1fdfd5bc,false,false,Thu Apr 17 2025 18:41:00 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:49 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:49 GMT+0000 (Coordinated Universal Time),soundcloud,rec2a3kNcDEF6XqN7,No,No 1st party remix support,reclqaq1ucmWK63DG,009
[Spotify] Direct UGC Upload,recfgF9sRIzwy3eoG,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b5ebec9debcb57e3814,false,false,Thu Apr 17 2025 18:41:34 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:52 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:52 GMT+0000 (Coordinated Universal Time),spotify,rech5QRYRwpcWrNc6,No,,recG0JCeSVKZA1sr9,012
[Soundcloud] Developer SDK,recxZ2KM29E5vp9qW,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b6338bfc14df26dac5a,false,false,Thu Apr 17 2025 18:41:39 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:54 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:54 GMT+0000 (Coordinated Universal Time),soundcloud,recBbrqR317WzI3on,Partial,No longer accepting new API applications,recLwsVW3DSzHOEUe,015
